productcode,productname,productprice,saleprice,productcategory,productweight,hideproduct,freeshippingitem,productdescription,productiondescription,techspecs,productkeywords,metatag_description,metatag_keywords,metatag_title
SS-BC900CTT,Bear Creek Chest,680,,142,180,,N,Bear Creek Chest by Steve Silver. Dimensions: 42 inW x 19 inD x 52 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,Bear Creek Chest by Steve Silver. Dimensions: 42 inW x 19 inD x 52 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,"• 42 inW x 19 inD x 52 inH
• Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey
• Styling details rustic farmhouse design with chevron patterned headboard
• Beds available in King or Queen sizes
• Nightstand
• Dresser and Chest feature deep",Bear Creek Chest; Steve Silver; Bedroom; Bedroom,Shop Bear Creek Chest by Steve Silver.,,Bear Creek Chest
SS-BC900DR,Bear Creek Dresser,690,,212,220,,N,Bear Creek Dresser by Steve Silver. Dimensions: 66 inW x 19 inD x 38 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,Bear Creek Dresser by Steve Silver. Dimensions: 66 inW x 19 inD x 38 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,"• 66 inW x 19 inD x 38 inH
• Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey
• Styling details rustic farmhouse design with chevron patterned headboard
• Beds available in King or Queen sizes
• Nightstand
• Dresser and Chest feature deep",Bear Creek Dresser; Steve Silver; Bedroom; Bedroom,Shop Bear Creek Dresser by Steve Silver.,,Bear Creek Dresser
SS-BC900MR,Bear Creek Mirror,120,,213,55,,N,Bear Creek Mirror by Steve Silver. Dimensions: 46 inW x 2 inD x 40 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,Bear Creek Mirror by Steve Silver. Dimensions: 46 inW x 2 inD x 40 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,"• 46 inW x 2 inD x 40 inH
• Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey
• Styling details rustic farmhouse design with chevron patterned headboard
• Beds available in King or Queen sizes
• Nightstand
• Dresser and Chest feature deep",Bear Creek Mirror; Steve Silver; Bedroom; Bedroom,Shop Bear Creek Mirror by Steve Silver.,,Bear Creek Mirror
SS-BC900NS,Bear Creek Nightstand,360,,210,85,,N,Bear Creek Nightstand by Steve Silver. Dimensions: 28 inW x 17 inD x 26 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,Bear Creek Nightstand by Steve Silver. Dimensions: 28 inW x 17 inD x 26 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,"• 28 inW x 17 inD x 26 inH
• Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey
• Styling details rustic farmhouse design with chevron patterned headboard
• Beds available in King or Queen sizes
• Nightstand
• Dresser and Chest feature deep",Bear Creek Nightstand; Steve Silver; Bedroom; Bedroom,Shop Bear Creek Nightstand by Steve Silver.,,Bear Creek Nightstand
SS-BC950CTBT,Bear Creek Chest,680,,142,180,,N,Bear Creek Chest by Steve Silver. Dimensions: 42 inW x 19 inD x 52 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,Bear Creek Chest by Steve Silver. Dimensions: 42 inW x 19 inD x 52 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,"• 42 inW x 19 inD x 52 inH
• Crafted from acacia hardwoods and veneers in a two-tone tobacco and
• Styling details rustic farmhouse design with chevron patterned headboard
• Beds available in King or Queen sizes
• Nightstand
• Dresser and Chest feature deep",Bear Creek Chest; Steve Silver; Bedroom; Bedroom,Shop Bear Creek Chest by Steve Silver.,,Bear Creek Chest
SS-BC950DRB,Bear Creek Dresser,690,,212,220,,N,Bear Creek Dresser by Steve Silver. Dimensions: 66 inW x 19 inD x 38 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,Bear Creek Dresser by Steve Silver. Dimensions: 66 inW x 19 inD x 38 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,"• 66 inW x 19 inD x 38 inH
• Crafted from acacia hardwoods and veneers in a two-tone tobacco and
• Styling details rustic farmhouse design with chevron patterned headboard
• Beds available in King or Queen sizes
• Nightstand
• Dresser and Chest feature deep",Bear Creek Dresser; Steve Silver; Bedroom; Bedroom,Shop Bear Creek Dresser by Steve Silver.,,Bear Creek Dresser
SS-BC950KFB,"Bear Creek King Bed, Brown",780,,214,300,,,"A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.","A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.","Beds available in King or Queen sizes
Styling details include chevron patterned headboard and footboard with planked-effect drawer fronts and antiqued pewter finish hardware.
Available Nightstand, Dresser and Chest feature deep, double-stacked drawers for functional storage of clothing or other bulky items.
Chocolate finish with honey-smoke accent tops and cap rails",Bear Creek King Bed; Steve Silver,"Shop Bear Creek King Bed, Brown at McCabe's Theater & Living. A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap ra.",Bear Creek King Bed; Steve Silver,"Bear Creek King Bed, Brown"
SS-BC950MRB,Bear Creek Mirror,120,,213,55,,N,Bear Creek Mirror by Steve Silver. Dimensions: 46 inW x 2 inD x 40 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,Bear Creek Mirror by Steve Silver. Dimensions: 46 inW x 2 inD x 40 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,"• 46 inW x 2 inD x 40 inH
• Crafted from acacia hardwoods and veneers in a two-tone tobacco and
• Styling details rustic farmhouse design with chevron patterned headboard
• Beds available in King or Queen sizes
• Nightstand
• Dresser and Chest feature deep",Bear Creek Mirror; Steve Silver; Bedroom; Bedroom,Shop Bear Creek Mirror by Steve Silver.,,Bear Creek Mirror
SS-BC950NSB,Bear Creek Nightstand,360,,210,85,,N,Bear Creek Nightstand by Steve Silver. Dimensions: 28 inW x 17 inD x 26 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,Bear Creek Nightstand by Steve Silver. Dimensions: 28 inW x 17 inD x 26 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for.,"• 28 inW x 17 inD x 26 inH
• Crafted from acacia hardwoods and veneers in a two-tone tobacco and
• Styling details rustic farmhouse design with chevron patterned headboard
• Beds available in King or Queen sizes
• Nightstand
• Dresser and Chest feature deep",Bear Creek Nightstand; Steve Silver; Bedroom; Bedroom,Shop Bear Creek Nightstand by Steve Silver.,,Bear Creek Nightstand
SS-BC950QFB,"Bear Creek Queen Bed, Brown",640,,214,300,,,"A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.","A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.","Beds available in King or Queen sizes
Styling details include chevron patterned headboard and footboard with planked-effect drawer fronts and antiqued pewter finish hardware.
Available Nightstand, Dresser and Chest feature deep, double-stacked drawers for functional storage of clothing or other bulky items.
Chocolate finish with honey-smoke accent tops and cap rails",Bear Creek Queen Bed; Steve Silver,"Shop Bear Creek Queen Bed, Brown at McCabe's Theater & Living. A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap ra.",Bear Creek Queen Bed; Steve Silver,"Bear Creek Queen Bed, Brown"
SS-BEM500PT,Naples Counter Dining Set w/ Chairs,2120,,215,420,Y,N,Naples Storage Counter Table w/ Leaf by Steve Silver. Dimensions: 60-80 inL x 42 inD x 36 inH Includes the dining table and matching chairs shown in the catalog image. Features: Expertly crafted of acacia; veneers with acacia; mango and Asian hardwoods solids with; Storage counter base offers easy access for dining essentials with an open area for storage or; The 20-inch leaf for a 60-inch table expands it to 80 inches; comfortably seating up to eight people; Powder-coated metal front stretchers reinforce frame and reduce wear and tear; The wood is hand-stained in a natural multi-step black and dark acacia finish to highlight the.,Naples Storage Counter Table w/ Leaf by Steve Silver. Dimensions: 60-80 inL x 42 inD x 36 inH Includes the dining table and matching chairs shown in the catalog image. Features: Expertly crafted of acacia; veneers with acacia; mango and Asian hardwoods solids with; Storage counter base offers easy access for dining essentials with an open area for storage or; The 20-inch leaf for a 60-inch table expands it to 80 inches; comfortably seating up to eight people; Powder-coated metal front stretchers reinforce frame and reduce wear and tear; The wood is hand-stained in a natural multi-step black and dark acacia finish to highlight the.,"• 60-80 inL x 42 inD x 36 inH Includes the dining table and matching chairs shown in the catalog image
• Expertly crafted of acacia
• veneers with acacia
• mango and Asian hardwoods solids with
• Storage counter base offers easy access for dining essentials with an open area for storage or
• The 20-inch leaf for a 60-inch table expands it to 80 inches",Naples Counter Dining Set w/ Chairs; Steve Silver; Dining Set; Dining,Shop Naples Counter Dining Set w/ Chairs by Steve Silver.,,Naples Counter Dining Set w/ Chairs
SS-BS850CG,Power Lift Chair w/ 3 Heat Zones Fabric,860,,178,145,,N,Power Lift Chair w/ 3 Heat Zones Fabric by Steve Silver. Dimensions: 35 inW x 41 inD x 42.5 inH Features: Fabric covering in stone; Single Motor Power Lift Chair offers easy lift and power recline with handheld remote; Power Lift Chair controlled with handheld remote; Full Power Recline; Full Power Recline; 100% polyester fabric cover in beige provides a durable and easy-to-clean surface that; 3 Heat Zone; Sinuous wire spring construction.,Power Lift Chair w/ 3 Heat Zones Fabric by Steve Silver. Dimensions: 35 inW x 41 inD x 42.5 inH Features: Fabric covering in stone; Single Motor Power Lift Chair offers easy lift and power recline with handheld remote; Power Lift Chair controlled with handheld remote; Full Power Recline; Full Power Recline; 100% polyester fabric cover in beige provides a durable and easy-to-clean surface that; 3 Heat Zone; Sinuous wire spring construction.,"• 35 inW x 41 inD x 42.5 inH
• Fabric covering in stone
• Single Motor Power Lift Chair offers easy lift and power recline with handheld remote
• Power Lift Chair controlled with handheld remote
• Full Power Recline
• Full Power Recline",Power Lift Chair w/ 3 Heat Zones Fabric; Steve Silver; Upholstery; Power Reclining / Power Lift Chairs,Shop Power Lift Chair w/ 3 Heat Zones Fabric by Steve Silver.,,Power Lift Chair w/ 3 Heat Zones Fabric
SS-BUR500NSV,Cathedral Doored Server,740,,217,230,,N,Cathedral Doored Server by Steve Silver. Dimensions: 70 inW x 18 inD x 32 inH Features: Servers are constructed of oak veneers; Asian hardwood solids and engineered woods; Styling details include cathedral glass doors for display and storage that allow design flexibility with; Wire escape in back and glass front doors allows for easy use as an entertainment piece; Two adjustable shelves offer versatile storage options to accommodate items of different sizes.; Adjustable glides level the server on uneven floors; Contrasting hardware and interiors add a captivating design element to the case.; The wood is hand-stained in a natural multi-step black; cocoa; sand; or blue - great for use as an.,Cathedral Doored Server by Steve Silver. Dimensions: 70 inW x 18 inD x 32 inH Features: Servers are constructed of oak veneers; Asian hardwood solids and engineered woods; Styling details include cathedral glass doors for display and storage that allow design flexibility with; Wire escape in back and glass front doors allows for easy use as an entertainment piece; Two adjustable shelves offer versatile storage options to accommodate items of different sizes.; Adjustable glides level the server on uneven floors; Contrasting hardware and interiors add a captivating design element to the case.; The wood is hand-stained in a natural multi-step black; cocoa; sand; or blue - great for use as an.,"• 70 inW x 18 inD x 32 inH
• Servers are constructed of oak veneers
• Asian hardwood solids and engineered woods
• Styling details include cathedral glass doors for display and storage that allow design flexibility with
• Wire escape in back and glass front doors allows for easy use as an entertainment piece
• Two adjustable shelves offer versatile storage options to accommodate items of different sizes",Cathedral Doored Server; Steve Silver; Dining; Modern Dining,Shop Cathedral Doored Server by Steve Silver.,,Cathedral Doored Server
SS-BUR520NC,Napa Curio,120,,217,190,Y,N,Napa Curio by Steve Silver. Dimensions: 39 inW x 18 inD x 79 inH Features: Table is constructed of solid Asian hardwoods; veneers and engineered wood; Styling details include rounded top with glass doors for beautiful display and storage and contrasting; Two adjustable shelves and one fixed shelf behind glass doors; one adjustable shelf in bottom; Adjustable glides level the curio on uneven floors; Contrasting hardware and interiors add a captivating design element to the case.; The wood is hand-stained in a natural multi-step sand; blue; black or brown - great for use as an.,Napa Curio by Steve Silver. Dimensions: 39 inW x 18 inD x 79 inH Features: Table is constructed of solid Asian hardwoods; veneers and engineered wood; Styling details include rounded top with glass doors for beautiful display and storage and contrasting; Two adjustable shelves and one fixed shelf behind glass doors; one adjustable shelf in bottom; Adjustable glides level the curio on uneven floors; Contrasting hardware and interiors add a captivating design element to the case.; The wood is hand-stained in a natural multi-step sand; blue; black or brown - great for use as an.,"• 39 inW x 18 inD x 79 inH
• Table is constructed of solid Asian hardwoods
• veneers and engineered wood
• Styling details include rounded top with glass doors for beautiful display and storage and contrasting
• Two adjustable shelves and one fixed shelf behind glass doors
• one adjustable shelf in bottom",Napa Curio; Steve Silver; Dining; Modern Dining,Shop Napa Curio by Steve Silver.,,Napa Curio
SS-CAN100KC,Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table,520,,195,110,Y,N,Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step black finish.,Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step black finish.,"• 24 inW x 24 inD x 21 inH
• Expertly crafted of oak veneers
• Asian hardwood solids and engineered woods
• Kiln-dried wood helps prevent warping
• splitting
• cracking and developing mildew",Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table; Steve Silver; Occasional; Casual Occasional,Shop Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table by Steve Silver.,,Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table
SS-CAN100KE,Casual Occasional End Table,310,,195,60,Y,N,Casual Occasional End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step black finish.,Casual Occasional End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step black finish.,"• 24 inW x 24 inD x 21 inH
• Expertly crafted of oak veneers
• Asian hardwood solids and engineered woods
• Kiln-dried wood helps prevent warping
• splitting
• cracking and developing mildew",Casual Occasional End Table; Steve Silver; Occasional; Casual Occasional,Shop Casual Occasional End Table by Steve Silver.,,Casual Occasional End Table
SS-CAN100NC,Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table,520,,195,110,Y,N,Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step weathered sand finish to highlight the natural grain and.,Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step weathered sand finish to highlight the natural grain and.,"• 24 inW x 24 inD x 21 inH
• Expertly crafted of oak veneers
• Asian hardwood solids and engineered woods
• Kiln-dried wood helps prevent warping
• splitting
• cracking and developing mildew",Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table; Steve Silver; Occasional; Casual Occasional,Shop Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table by Steve Silver.,,Casual Occasional Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table
SS-CAN100NE,Casual Occasional End Table,310,,195,60,Y,N,Casual Occasional End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step weathered sand finish to highlight the natural grain and.,Casual Occasional End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step weathered sand finish to highlight the natural grain and.,"• 24 inW x 24 inD x 21 inH
• Expertly crafted of oak veneers
• Asian hardwood solids and engineered woods
• Kiln-dried wood helps prevent warping
• splitting
• cracking and developing mildew",Casual Occasional End Table; Steve Silver; Occasional; Casual Occasional,Shop Casual Occasional End Table by Steve Silver.,,Casual Occasional End Table
SS-CAS900C,Cassie Illuminating Chest,440,,142,180,,N,Cassie Illuminating Chest by Steve Silver. Dimensions: 52 inW x 17 inD x 48 inH Features: Crafted of engineered woods and Asian hardwood solids in a shimmering pearl; Crystal in-laid borders sparkle with glam elegance and illuminate with a warm; USB and USB-C ports on both sides of the headboard for convenient charging; 5-slat support system with dual center supports for superior mattress stability; Felt-lined top drawers on all storage pieces protect delicate items; Finished drawer sides and bottoms provide snag-free storage for delicate.,Cassie Illuminating Chest by Steve Silver. Dimensions: 52 inW x 17 inD x 48 inH Features: Crafted of engineered woods and Asian hardwood solids in a shimmering pearl; Crystal in-laid borders sparkle with glam elegance and illuminate with a warm; USB and USB-C ports on both sides of the headboard for convenient charging; 5-slat support system with dual center supports for superior mattress stability; Felt-lined top drawers on all storage pieces protect delicate items; Finished drawer sides and bottoms provide snag-free storage for delicate.,"• 52 inW x 17 inD x 48 inH
• Crafted of engineered woods and Asian hardwood solids in a shimmering pearl
• Crystal in-laid borders sparkle with glam elegance and illuminate with a warm
• USB and USB-C ports on both sides of the headboard for convenient charging
• 5-slat support system with dual center supports for superior mattress stability
• Felt-lined top drawers on all storage pieces protect delicate items",Cassie Illuminating Chest; Steve Silver; Bedroom; 63 inW x 2 inD x 20 inH / 38 inW x 2 inD x 36 inH,Shop Cassie Illuminating Chest by Steve Silver.,,Cassie Illuminating Chest
SS-CAS900DR,Cassie Illuminating Dresser,480,,212,220,,N,Cassie Illuminating Dresser by Steve Silver. Dimensions: 58 inW x 17 inD x 35 inH Features: Crafted of engineered woods and Asian hardwood solids in a shimmering pearl; Crystal in-laid borders sparkle with glam elegance and illuminate with a warm; USB and USB-C ports on both sides of the headboard for convenient charging; 5-slat support system with dual center supports for superior mattress stability; Felt-lined top drawers on all storage pieces protect delicate items; Finished drawer sides and bottoms provide snag-free storage for delicate.,Cassie Illuminating Dresser by Steve Silver. Dimensions: 58 inW x 17 inD x 35 inH Features: Crafted of engineered woods and Asian hardwood solids in a shimmering pearl; Crystal in-laid borders sparkle with glam elegance and illuminate with a warm; USB and USB-C ports on both sides of the headboard for convenient charging; 5-slat support system with dual center supports for superior mattress stability; Felt-lined top drawers on all storage pieces protect delicate items; Finished drawer sides and bottoms provide snag-free storage for delicate.,"• 58 inW x 17 inD x 35 inH
• Crafted of engineered woods and Asian hardwood solids in a shimmering pearl
• Crystal in-laid borders sparkle with glam elegance and illuminate with a warm
• USB and USB-C ports on both sides of the headboard for convenient charging
• 5-slat support system with dual center supports for superior mattress stability
• Felt-lined top drawers on all storage pieces protect delicate items",Cassie Illuminating Dresser; Steve Silver; Bedroom; 63 inW x 2 inD x 20 inH / 38 inW x 2 inD x 36 inH,Shop Cassie Illuminating Dresser by Steve Silver.,,Cassie Illuminating Dresser
SS-CAS900KFB,"Cassie Illuminating King Bed, Shimmering Pearl Finish",690,,214,300,,,"The Cassie King Bed transforms your bedroom into a haven of glam chic. Its shimmering pearl finish is accentuated by crystal inlaid borders at the top and bottom, adding a radiant touch. The headboard features an illuminating border that, with the flip of a switch, creates a captivating ambiance and doubles as a practical reading light. Beyond its stunning appearance, the bed is equipped with built-in USB/USB-C chargers on each side, offering convenient organization and charging for your electronics.","The Cassie King Bed transforms your bedroom into a haven of glam chic. Its shimmering pearl finish is accentuated by crystal inlaid borders at the top and bottom, adding a radiant touch. The headboard features an illuminating border that, with the flip of a switch, creates a captivating ambiance and doubles as a practical reading light. Beyond its stunning appearance, the bed is equipped with built-in USB/USB-C chargers on each side, offering convenient organization and charging for your electronics.","Crafted from engineered woods and Asian hardwood solids
The headboard and footboard are accented with crystal in-laid borders tjhat sparkle with glam elegance. The headboard illuminates with a warm glow at the flip of a switch, creating an enchanting and inviting atmosphere.
USB and USB-C charging ports on each side of the headboard offer convenient and accessible device charging
The crystal in-laid border sparkles with glam elegance, illuminating with a warm glow at the flip of a switch, creating an enchanting and inviting atmosphere.
The 5-slat support system with dual center supports ensures superior stability, preventing sagging and extending mattress life.
The King Bed is bathed in a shimmering pearl finish, creating a stunning accent that elevates the beauty of any room
The channeled two-tone cushioned fabric headboard from 100% polyester softens a room’s décor
Product Measurements: 82?W x 65?D x 51?H",Cassie Illuminating King Bed; Steve Silver,"Shop Cassie Illuminating King Bed, Shimmering Pearl Finish at McCabe's Theater & Living. The Cassie King Bed transforms your bedroom into a haven of glam chic. Its shimmering pearl finish is accentuated by crystal inlaid borders.",Cassie Illuminating King Bed; Steve Silver,"Cassie Illuminating King Bed, Shimmering Pearl Finish"
SS-CAS900M,Cassie Illuminating Mirror,120,,213,55,,N,Cassie Illuminating Mirror by Steve Silver. Features: Crafted of engineered woods and Asian hardwood solids in a shimmering pearl; Crystal in-laid borders sparkle with glam elegance and illuminate with a warm; USB and USB-C ports on both sides of the headboard for convenient charging; 5-slat support system with dual center supports for superior mattress stability; Felt-lined top drawers on all storage pieces protect delicate items; Finished drawer sides and bottoms provide snag-free storage for delicate.,Cassie Illuminating Mirror by Steve Silver. Features: Crafted of engineered woods and Asian hardwood solids in a shimmering pearl; Crystal in-laid borders sparkle with glam elegance and illuminate with a warm; USB and USB-C ports on both sides of the headboard for convenient charging; 5-slat support system with dual center supports for superior mattress stability; Felt-lined top drawers on all storage pieces protect delicate items; Finished drawer sides and bottoms provide snag-free storage for delicate.,"• Crafted of engineered woods and Asian hardwood solids in a shimmering pearl
• Crystal in-laid borders sparkle with glam elegance and illuminate with a warm
• USB and USB-C ports on both sides of the headboard for convenient charging
• 5-slat support system with dual center supports for superior mattress stability
• Felt-lined top drawers on all storage pieces protect delicate items
• Finished drawer sides and bottoms provide snag-free storage for delicate",Cassie Illuminating Mirror; Steve Silver; Bedroom; 63 inW x 2 inD x 20 inH / 38 inW x 2 inD x 36 inH,Shop Cassie Illuminating Mirror by Steve Silver.,,Cassie Illuminating Mirror
