productcode,productname,handle,hidden_on_volusion,status,option_category,saranoni_values,mccabe_values,missing_on_mccabe,out_of_stock_on_saranoni,safe_to_add_missing_in_stock,saranoni_available
SAR-SUPERMAN-DBL-LAYER-BMB,Superman Double-Layer Bamboni,superman-double-layer-bamboni-copy,False,ok,Size,Mini|Receiving|Throw|XL,,Mini|Receiving|Throw|XL,,Mini|Receiving|Throw|XL,True
SAR-SUPERMAN-MNKY-LUSH,Superman Minky Lush,superman-minky-lush,False,ok,Size,Mini|Receiving|Toddler|XL,Mini|Receiving [Additional $33.00]|Toddler [Additional $63.00]|XL [Additional $147.00],Receiving|Toddler|XL,,Receiving|Toddler|XL,True
SAR-VERY-HGRY-CAT-MNKY-STR,The Very Hungry Caterpillar Minky Stretch Luxe Blankets,the-very-hungry-caterpillar-minky-stretch-luxe-blankets,True,ok,Size,Mini|Receiving|Toddler,,Mini|Receiving|Toddler,Mini|Receiving|Toddler,,False
SAR-WEARABLE,Wearable Blankets,wearable-blanket,False,ok,Color,Feather|Cream|Hazel,,Feather|Cream|Hazel,Hazel,Feather|Cream,True
SAR-WEARABLE,Wearable Blankets,wearable-blanket,False,ok,Size,Small Minky|Medium Minky|Small Faux Fur|Medium Faux Fur,,Small Minky|Medium Minky|Small Faux Fur|Medium Faux Fur,,Small Minky|Medium Minky|Small Faux Fur|Medium Faux Fur,True
SAR-WFL-KNT,Waffle Knit Throw Blankets,waffle-knit-throw-blankets-1,False,ok,Color,Oxford|Oatmeal|Moonbeam|Allspice|Thyme|Chestnut|Swan,Allspice|Chestnut|Moonbeam|Oatmeal|Oxford|Swan|Thyme,,,,True
SAR-WFL-KNT-KING,Waffle Knit King Blankets,waffle-knit-king-blankets,False,ok,Color,Allspice|Thyme|Oxford|Oatmeal|Moonbeam|Chestnut|Swan,Allspice|Chestnut|Moonbeam|Oatmeal|Oxford|Swan|Thyme,,Chestnut,,True
SAR-WFL-KNT-QUEEN,Waffle Knit Queen Blankets,waffle-knit-queen-blankets,False,ok,Color,Allspice|Thyme|Oxford|Oatmeal|Moonbeam|Chestnut|Swan,Allspice|Chestnut|Moonbeam|Oatmeal|Oxford|Swan|Thyme,,,,True
SAR-WFL-KNT-ROBES,Waffle Knit Robes,waffle-knit-robes,False,ok,Color,Oxford|Oatmeal|Moonbeam|Allspice|Thyme|Chestnut|Swan,Allspice|Chestnut|Moonbeam|Oatmeal|Oxford|Swan|Thyme,,,,True
SAR-WFL-KNT-ROBES,Waffle Knit Robes,waffle-knit-robes,False,ok,Size,Small|Medium|Large|XL|XXL,Large|Medium|Small|XL [Subtract -$25.00]|XXL [Subtract -$25.00],XL|XXL,,XL|XXL,True
SAR-WFL-KNT-TOD,Waffle Knit Toddler Blankets,waffle-knit-toddler-blankets,False,ok,Color,Rosette|Elm|Wheat|Wisteria|Blue Jay|Swan,Blue Jay|Elm|Rosette|Swan|Wheat|Wisteria,,,,True
SAR-WFL-KNT-TWIN,Waffle Knit Twin Blankets,waffle-knit-twin-blankets,False,ok,Color,Allspice|Thyme|Oxford|Oatmeal|Moonbeam|Chestnut|Swan,Allspice|Chestnut|Moonbeam|Oatmeal|Oxford|Swan|Thyme,,,,True
SAR-WFL-KNT-XL-LG,Waffle Knit extra large Throw Blankets,waffle-knit-throw-blankets,False,ok,Color,Oxford|Oatmeal|Moonbeam|Allspice|Thyme|Chestnut|Swan,Allspice|Chestnut|Moonbeam|Oatmeal|Oxford|Swan|Thyme,,Chestnut,,True
SAR-WIZARDIN-WORLD-CHARM,Wizarding World Charm Minky Lush,wizarding-world-charm-minky-lush,False,ok,Size,Mini|Receiving|Toddler|XL,Mini|Receiving [Additional $33.00]|Toddler [Additional $63.00]|XL [Additional $147.00],Receiving|Toddler|XL,,Receiving|Toddler|XL,True
SAR-WONDER-WOMAN-DBL-LAYER,Wonder Woman Double-Layer Bamboni,wonder-woman-double-layer-bamboni,False,ok,Size,Mini|Receiving|Throw|XL,,Mini|Receiving|Throw|XL,,Mini|Receiving|Throw|XL,True
SAR-WONDER-WOMAN-MNKY-LUSH,Wonder Woman Minky Lush,wonder-woman-minky-lush,False,ok,Size,Mini|Receiving|Toddler|XL,Mini|Receiving [Additional $33.00]|Toddler [Additional $63.00]|XL [Additional $147.00],Receiving|Toddler|XL,,Receiving|Toddler|XL,True
